Datum,70/30 Performance mit Reb.
2015-05-3,1.166950097
2015-06-30,-3.886505912
2015-07-31,1.311702801
2015-08-31,-8.622537056
2015-09-30,-3.218136217
2015-10-31,9.379732777
2015-11-30,3.393846154
2015-12-31,-4.36865756
2016-01-31,-6.628286915
2016-02-29,0.466588902
2016-03-31,2.133023719
2016-04-30,-0.058464337
2016-05-31,2.801957534
2016-06-30,0.472052322
2016-07-31,4.199623093
2016-08-31,0.603447011
2016-09-30,0.627383855
2016-10-31,0.84892497
2016-11-30,3.308640769
2016-12-31,2.161726154
2017-01-31,0.210863342
2017-02-28,4.877280112
2017-03-31,14.3693689
2017-04-30,-12.05267098
2017-05-31,-0.935270234
2017-06-30,-0.762637397
2017-07-31,0.002750718
2017-08-31,-0.051214343
2017-09-30,2.071901943
2017-10-31,3.791869576
2017-11-30,-0.531907656
2017-12-31,1.809078597
2018-01-31,1.894075426
2018-02-28,-2.1969301
2018-03-31,-2.988840922
2018-04-30,2.865814421
2018-05-31,2.461273338
2018-06-30,-1.265108366
2018-07-31,2.490200583
2018-08-31,0.464596575
2018-09-30,0.503919571
2018-10-31,-5.435529032
2018-11-30,1.588243928
2018-12-31,-7.026919817
2019-01-31,8.321313818
2019-02-28,2.734508112
2019-03-31,2.502118849
2019-04-30,3.117815078
2019-05-31,-5.301293704
2019-06-30,3.890469743
2019-07-31,2.718772905
2019-08-31,-2.306078275
2019-09-30,3.243999483
2019-10-31,0.30728264
2019-11-30,3.626385942
2019-12-31,2.874867887
2020-01-31,-1.416070998
2020-02-29,-7.774646541
2020-03-31,-11.82840219
2020-04-30,9.299562476
2020-05-31,1.577419681
2020-06-30,3.121917997
2020-07-31,0.622056654
2020-08-31,4.760386921
2020-09-30,-0.586836051
2020-10-31,-1.508944892
2020-11-30,9.015122369
2020-12-31,2.57984701
2021-01-31,1.576523423
2021-02-28,2.729303173
2021-03-31,4.891821703
2021-04-30,1.196482678
