Datum;70/30 Performance ohne Reb.;
2015-05-31;1,1669501;
2015-06-30;-3,8865059;
2015-07-31;1,3117028;
2015-08-31;-8,6225371;
2015-09-30;-3,2181362;
2015-10-31;9,3797328;
2015-11-30;3,3938462;
2015-12-31;-4,3686576;
2016-01-31;-6,6282869;
2016-02-29;0,4665889;
2016-03-31;2,1330237;
2016-04-30;-0,0584643;
2016-05-31;3,3571661;
2016-06-30;-0,1697953;
2016-07-31;4,0599704;
2016-08-31;0,4661299;
2016-09-30;0,4187756;
2016-10-31;0,7170502;
2016-11-30;4,1257075;
2016-12-31;2,4488628;
2017-01-31;-0,2652816;
2017-02-28;4,9277635;
2017-03-31;8,8136407;
2017-04-30;-7,8275583;
2017-05-31;-1,0083273;
2017-06-30;-0,8358418;
2017-07-31;-0,3225194;
2017-08-31;-0,3561912;
2017-09-30;2,3849155;
2017-10-31;3,6406279;
2017-11-30;-0,4011623;
2017-12-31;1,6498412;
2018-01-31;1,5290831;
2018-02-28;-2,0364255;
2018-03-31;-3,2537413;
2018-04-30;3,2773817;
2018-05-31;2,9241799;
2018-06-30;-0,6784274;
2018-07-31;2,4847236;
2018-08-31;1,0290265;
2018-09-30;0,5976529;
2018-10-31;-5,2242586;
2018-11-30;1,1174401;
2018-12-31;-7,5700764;
2019-01-31;8,1486098;
2019-02-28;3,2298479;
2019-03-31;2,5023059;
2019-04-30;3,3240269;
2019-05-31;-5,095502;
2019-06-30;3,8967092;
2019-07-31;3,0751065;
2019-08-31;-2,0333334;
2019-09-30;3,2363353;
2019-10-31;0,144035;
2019-11-30;3,9410172;
2019-12-31;2,3311606;
2020-01-31;-0,7424665;
2020-02-29;-8,2271687;
2020-03-31;-11,4228135;
2020-04-30;9,4431646;
2020-05-31;1,9520509;
2020-06-30;2,5356953;
2020-07-31;0,2362785;
2020-08-31;5,2469534;
2020-09-30;-0,8537511;
2020-10-31;-2,013142;
2020-11-30;9,2499054;
2020-12-31;2,3088716;
2021-01-31;1,1156154;
2021-02-28;2,9187907;
2021-03-31;5,3939415;
2021-04-30;1,5011839;
