Datum,70/30 Performance mit Reb.;70/30 Performance ohne Reb.
2015-05-31;0,011669501;0,011669501
2015-06-30;-0,038865059;-0,038865059
2015-07-31;0,013117028;0,013117028
2015-08-31;-0,086225371;-0,086225371
2015-09-30;-0,032181362;-0,032181362
2015-10-31;0,093797328;0,093797328
2015-11-30;0,033938462;0,033938462
2015-12-31;-0,043686576;-0,043686576
2016-01-31;-0,066282869;-0,066282869
2016-02-29;0,004665889;0,004665889
2016-03-31;0,021330237;0,021330237
2016-04-30;-0,000584643;-0,000584643
2016-05-31;0,028019575;0,033571661
2016-06-30;0,004720523;-0,001697953
2016-07-31;0,041996231;0,040599704
2016-08-31;0,00603447;0,004661299
2016-09-30;0,006273839;0,004187756
2016-10-31;0,00848925;0,007170502
2016-11-30;0,033086408;0,041257075
2016-12-31;0,021617262;0,024488628
2017-01-31;0,002108633;-0,002652816
2017-02-28;0,048772801;0,049277635
2017-03-31;0,143693689;0,088136407
2017-04-30;-0,12052671;-0,078275583
2017-05-31;-0,009352702;-0,010083273
2017-06-30;-0,007626374;-0,008358418
2017-07-31;2,75072E-05;-0,003225194
2017-08-31;-0,000512143;-0,003561912
2017-09-30;0,020719019;0,023849155
2017-10-31;0,037918696;0,036406279
2017-11-30;-0,005319077;-0,004011623
2017-12-31;0,018090786;0,016498412
2018-01-31;0,018940754;0,015290831
2018-02-28;-0,021969301;-0,020364255
2018-03-31;-0,029888409;-0,032537413
2018-04-30;0,028658144;0,032773817
2018-05-31;0,024612733;0,029241799
2018-06-30;-0,012651084;-0,006784274
2018-07-31;0,024902006;0,024847236
2018-08-31;0,004645966;0,010290265
2018-09-30;0,005039196;0,005976529
2018-10-31;-0,05435529;-0,052242586
2018-11-30;0,015882439;0,011174401
2018-12-31;-0,070269198;-0,075700764
2019-01-31;0,083213138;0,081486098
2019-02-28;0,027345081;0,032298479
2019-03-31;0,025021188;0,025023059
2019-04-30;0,031178151;0,033240269
2019-05-31;-0,053012937;-0,05095502
2019-06-30;0,038904697;0,038967092
2019-07-31;0,027187729;0,030751065
2019-08-31;-0,023060783;-0,020333334
2019-09-30;0,032439995;0,032363353
2019-10-31;0,003072826;0,00144035
2019-11-30;0,036263859;0,039410172
2019-12-31;0,028748679;0,023311606
2020-01-31;-0,01416071;-0,007424665
2020-02-29;-0,077746465;-0,082271687
2020-03-31;-0,118284022;-0,114228135
2020-04-30;0,092995625;0,094431646
2020-05-31;0,015774197;0,019520509
2020-06-30;0,03121918;0,025356953
2020-07-31;0,006220567;0,002362785
2020-08-31;0,047603869;0,052469534
2020-09-30;-0,005868361;-0,008537511
2020-10-31;-0,015089449;-0,02013142
2020-11-30;0,090151224;0,092499054
2020-12-31;0,02579847;0,023088716
2021-01-31;0,015765234;0,011156154
2021-02-28;0,027293032;0,029187907
2021-03-31;0,048918217;0,053939415
2021-04-30;0,011964827;0,015011839
