Datum;ACWI
2015-05-31;1,733011238
2015-06-30;-3,489572579
2015-07-31;1,722293539
2015-08-31;-8,423598696
2015-09-30;-3,502526412
2015-10-31;9,472807331
2015-11-30;3,706924666
2015-12-31;-4,266247379
2016-01-31;-6,63527866
2016-02-29;0,410460889
2016-03-31;1,81032469
2016-04-30;0,630951015
2016-05-31;3,625170999
2016-06-30;-0,440044004
2016-07-31;3,856353591
2016-08-31;0,734120651
2016-09-30;0,464723278
2016-10-31;0,588730025
2016-11-30;4,985367893
2016-12-31;2,429069189
2017-01-31;-0,495674993
2017-02-28;5,069349482
2017-03-31;0,641442781
2017-04-30;-0,591169407
2017-05-31;-1,514588366
2017-06-30;-0,651004812
2017-07-31;-0,740740741
2017-08-31;-0,650593188
2017-09-30;2,937211094
2017-10-31;3,162129292
2017-11-30;-0,353677337
2017-12-31;1,556243174
2018-01-31;1,335245094
2018-02-28;-1,768659356
2018-03-31;-3,601008282
2018-04-30;3,567426223
2018-05-31;3,372407574
2018-06-30;-0,270411724
2018-07-31;2,230385726
2018-08-31;1,488706366
2018-09-30;0,505816894
2018-10-31;-5,401778225
2018-11-30;0,673878347
2018-12-31;-8,314250484
2019-01-31;8,165225744
2019-02-28;3,552397869
2019-03-31;2,195540309
2019-04-30;3,373615307
2019-05-31;-5,24435785
2019-06-30;3,752570254
2019-07-31;3,567299752
2019-08-31;-2,136820284
2019-09-30;3,030796806
2019-10-31;0,079076388
2019-11-30;4,235145386
2019-12-31;2,304426925
2020-01-31;-0,696502667
2020-02-29;-8,237576481
2020-03-31;-12,11579119
2020-04-30;9,992598075
2020-05-31;1,581426649
2020-06-30;2,119907254
2020-07-31;-0,048653909
2020-08-31;5,533019633
2020-09-30;-0,830258303
2020-10-31;-2,279069767
2020-11-30;9,757258448
2020-12-31;2,804278693
2021-01-31;1,195163105
2021-02-28;2,834514381
2021-03-31;5,769490609
2021-04-30;1,354113439
