Datum;MSCI ACWI
2015-04-30;95,21
2015-05-31;96,86
2015-06-30;93,48
2015-07-31;95,09
2015-08-31;87,08
2015-09-30;84,03
2015-10-31;91,99
2015-11-30;95,40
2015-12-31;91,33
2016-01-31;85,27
2016-02-29;85,62
2016-03-31;87,17
2016-04-30;87,72
2016-05-31;90,90
2016-06-30;90,50
2016-07-31;93,99
2016-08-31;94,68
2016-09-30;95,12
2016-10-31;95,68
2016-11-30;100,45
2016-12-31;102,89
2017-01-31;102,38
2017-02-28;107,57
2017-03-31;108,26
2017-04-30;107,62
2017-05-31;105,99
2017-06-30;105,30
2017-07-31;104,52
2017-08-31;103,84
2017-09-30;106,89
2017-10-31;110,27
2017-11-30;109,88
2017-12-31;111,59
2018-01-31;113,08
2018-02-28;111,08
2018-03-31;107,08
2018-04-30;110,90
2018-05-31;114,64
2018-06-30;114,33
2018-07-31;116,88
2018-08-31;118,62
2018-09-30;119,22
2018-10-31;112,78
2018-11-30;113,54
2018-12-31;104,10
2019-01-31;112,60
2019-02-28;116,60
2019-03-31;119,16
2019-04-30;123,18
2019-05-31;116,72
2019-06-30;121,10
2019-07-31;125,42
2019-08-31;122,74
2019-09-30;126,46
2019-10-31;126,56
2019-11-30;131,92
2019-12-31;134,96
2020-01-31;134,02
2020-02-29;122,98
2020-03-31;108,08
2020-04-30;118,88
2020-05-31;120,76
2020-06-30;123,32
2020-07-31;123,26
2020-08-31;130,08
2020-09-30;129,00
2020-10-31;126,06
2020-11-30;138,36
2020-12-31;142,24
2021-01-31;143,94
2021-02-28;148,02
2021-03-31;156,56
2021-04-30;158,68
