quirion,fintego,easyfolio
2015-05-31,1.2,0.4,0.3
2015-06-30,-2.6,-3.5,-3.0
2015-07-31,0.7,1.4,0.9
2015-08-31,-4.0,-4.4,-5.0
2015-09-30,-2.4,-1.2,-1.8
2015-10-31,4.9,4.6,4.9
2015-11-30,1.5,1.6,2.0
2015-12-31,-2.5,-3.5,-3.2
2016-01-31,-4.1,-2.3,-2.9
2016-02-29,0.9,0.2,0.1
2016-03-31,2.3,1.6,1.8
2016-04-30,0.8,1.1,0.6
2016-05-31,0.9,1.0,1.1
2016-06-30,-0.5,0.5,0.5
2016-07-31,2.7,2.6,2.4
2016-08-31,0.4,-0.2,0.5
2016-09-30,-0.2,0.4,0.0
2016-10-31,0.1,-0.8,0.1
2016-11-30,2.2,1.1,0.5
2016-12-31,1.5,1.3,1.3
2017-01-31,0.1,-0.3,-0.4
2017-02-28,2.2,2.8,2.6
2017-03-31,-0.2,-0.2,0.5
2017-04-30,0.2,-0.4,-0.1
2017-05-31,-0.6,-0.1,-0.4
2017-06-30,-0.6,-1.5,-0.9
2017-07-31,0.1,0.1,-0.1
2017-08-31,-0.5,0.3,0.0
2017-09-30,1.2,0.9,0.9
2017-10-31,1.7,2.2,2.0
2017-11-30,-0.1,0.0,-1.7
2017-12-31,-0.6,-2.3,0.1
2018-01-31,0.6,0.3,0.0
2018-02-28,-0.9,-1.1,-1.1
2018-03-31,-1.7,-0.8,-1.2
2018-04-30,1.7,1.4,1.1
2018-05-31,1.3,1.6,0.8
2018-06-30,-0.6,-0.3,-1.0
2018-07-31,1.2,0.7,1.3
2018-08-31,0.3,0.5,-0.6
2018-09-30,0.1,0.5,0.2
2018-10-31,-3.0,-2.6,-2.9
2018-11-30,0.3,0.5,1.0
2018-12-31,-4.2,-4.2,-3.6
2019-01-31,4.4,4.1,4.5
2019-02-28,1.7,1.8,1.1
2019-03-31,0.4,2.2,1.9
2019-04-30,1.7,1.6,1.5
2019-05-31,-3.3,-2.3,-2.7
2019-06-31,2.3,2.3,2.6
2019-07-31,1.4,1.9,1.8
2019-08-31,-1.2,0.4,-1.0
2019-09-31,1.9,1.0,1.9
2019-10-31,0.1,-0.2,0.0
2019-11-30,2.0,1.5,1.6
2019-12-31,1.1,-0.5,0.9
2020-01-31,-0.1,1.0,-0.3
2020-02-29,-3.9,-3.9,-2.7
2020-03-31,-10.7,-8.7,-11.4
2020-04-30,5.9,5.9,7.3
2020-05-31,1.0,1.4,0.8
2020-06-30,1.4,1.4,0.8
2020-07-31,-0.6,0.5,1.1
2020-08-31,2.5,2.8,1.8
2020-09-30,-0.5,-0.7,-1.0
2020-10-31,-0.9,-0.6,0.0
2020-11-30,4.9,4.7,4.9
2020-12-31,1.2,0.7,-0.2
2021-01-31,0.8,0.1,1.7
2021-02-28,1.3,-1.1,-0.5
2021-03-31,3.3,1.9,1.6
2021-04-30,0.1,0.8,0.2
