Datum,fintego
2015-05-31,0.4
2015-06-30,-3.5
2015-07-31,1.4
2015-08-31,-4.4
2015-09-30,-1.2
2015-10-31,4.6
2015-11-30,1.6
2015-12-31,-3.5
2016-01-31,-2.3
2016-02-29,0.2
2016-03-31,1.6
2016-04-30,1.1
2016-05-31,1.0
2016-06-30,0.5
2016-07-31,2.6
2016-08-31,-0.2
2016-09-30,0.4
2016-10-31,-0.8
2016-11-30,1.1
2016-12-31,1.3
2017-01-31,-0.3
2017-02-28,2.8
2017-03-31,-0.2
2017-04-30,-0.4
2017-05-31,-0.1
2017-06-30,-1.5
2017-07-31,0.1
2017-08-31,0.3
2017-09-30,0.9
2017-10-31,2.2
2017-11-30,0
2017-12-31,-2.3
2018-01-31,0.3
2018-02-28,-1.1
2018-03-31,-0.8
2018-04-30,1.4
2018-05-31,1.6
2018-06-30,-0.3
2018-07-31,0.7
2018-08-31,0.5
2018-09-30,0.5
2018-10-31,-2.6
2018-11-30,0.5
2018-12-31,-4.2
2019-01-31,4.1
2019-02-28,1.8
2019-03-31,2.2
2019-04-30,1.6
2019-05-31,-2.3
2019-06-30,2.3
2019-07-31,1.9
2019-08-31,0.4
2019-09-30,1.0
2019-10-31,-0.2
2019-11-30,1.5
2019-12-31,-0.5
2020-01-31,1.0
2020-02-29,-3.9
2020-03-31,-8.7
2020-04-30,5.9
2020-05-31,1.4
2020-06-30,1.4
2020-07-31,0.5
2020-08-31,2.8
2020-09-30,-0.7
2020-10-31,-0.6
2020-11-30,4.7
2020-12-31,0.7
2021-01-31,0.1
2021-02-28,-1.1
2021-03-31,1.9
2021-04-30,0.8
