Datum,quirion
2015-05-31,1.200
2015-06-30,-2.600
2015-07-31,0.700
2015-08-31,-4.000
2015-09-30,-2.400
2015-10-31,4.900
2015-11-30,1.500
2015-12-31,-2.500
2016-01-31,-4.100
2016-02-29,0.900
2016-03-31,2.300
2016-04-30,0.800
2016-05-31,0.900
2016-06-30,-0.500
2016-07-31,2.700
2016-08-31,0.400
2016-09-30,-0.200
2016-10-31,0.100
2016-11-30,2.200
2016-12-31,1.500
2017-01-31,0.100
2017-02-28,2.200
2017-03-31,-0.200
2017-04-30,0.200
2017-05-31,-0.600
2017-06-30,-0.600
2017-07-31,0.100
2017-08-31,-0.500
2017-09-30,1.200
2017-10-31,1.700
2017-11-30,-0.100
2017-12-31,-0.600
2018-01-31,0.600
2018-02-28,-0.900
2018-03-31,-1.700
2018-04-30,1.700
2018-05-31,1.300
2018-06-30,-0.600
2018-07-31,1.200
2018-08-31,0.300
2018-09-30,0.100
